Code,WormMaturity,Sex,Size,Sequenced,dual,Worms_collected_for,Sequence_file_name,Related_conspecific,Notes
W3_worm1,NA,NA,NA,N,Y,Eddy_DNA/RNA,,,
W3_worm2,NA,NA,NA,N,Y,Eddy_DNA/RNA,,,
W8,NA,NA,NA,N,N,Eddy_DNA/RNA,,,
W32,NA,NA,NA,N,N,Eddy_DNA/RNA,,,
W35,NA,NA,NA,N,N,Eddy_DNA/RNA,,,
W58_worm1,Juv,NA,89,Y,Y,Eddy_DNA/RNA,HW_w58_1WGA.bam,No,
W58_worm2,Juv,NA,28,N,Y,Eddy_DNA/RNA,,,
W58_worm3,Juv,NA,16,Y,Y,Eddy_DNA/RNA,HW_w58_3WGA.bam,No,
W58_worm4,Juv,NA,26,Y,Y,Eddy_DNA/RNA,HW_w58_4WGA.bam,No,
W58_worm5,Juv,NA,11,Y,Y,Eddy_DNA/RNA,HW_w58_5WGA.bam,No,
W58_worm6,Juv,NA,8,Y,Y,Eddy_DNA/RNA,HW_w58_6WGA.bam,No,
W58_worm7,Juv,NA,9,Y,Y,Eddy_DNA/RNA,HW_w58_7WGA.bam,No,
W58_worm8,Juv,NA,10,Y,Y,Eddy_DNA/RNA,HW_w58_8WGA.bam,No,
W58_worm9,Juv,NA,18,Y,Y,Eddy_DNA/RNA,HW_w58_9WGA.bam,No,
W58_worm10,Juv,NA,12,N,Y,Eddy_DNA/RNA,,,
W58_worm11,Juv,NA,6,N,Y,Eddy_DNA/RNA,,,
W58_worm12,Juv,NA,7,Y,Y,Eddy_DNA/RNA,HW_w58_12WGA.bam,No,
W58_worm13,Juv,NA,7,N,Y,Eddy_DNA/RNA,,,
W65,Mature,Female,189,Y,N,Eddy_DNA/RNA,HW_w65WGA.bam,,
W68,Juv,NA,170,Y,N,Eddy_DNA/RNA,HW_w68WGA.bam,,
W72,Juv,NA,17,Y,N,Eddy_DNA/RNA,HW_w72WGA.bam,,
W74,Juv,NA,25,Y,N,Eddy_DNA/RNA,HW_w74WGA.bam,,
W133_worm1,Juv,Male,60,N,Y,Eddy_DNA/RNA,,,
W133_worm2,Mature,Female,103,Y,Y,Eddy_DNA/RNA,HW_w133_2_WGA.bam,Yes,
W133_worm3,Mature,Female,102,Y,Y,Eddy_DNA/RNA,HW_w133_3.bam,Yes,
W134_worm1,Mature,Female,122,Y,Y,Eddy_DNA/RNA,HW_w134_worm1WGA.bam,Yes,
W134_worm2,Mature,Female,102,Y,Y,Eddy_DNA/RNA,HW_w134_worm2.bam,Yes,
W134_worm3,Mature,Male,64,N,Y,Eddy_DNA/RNA,,,
W134_worm4,Mature,Male,78,N,Y,Eddy_DNA/RNA,,,
W136,Mature,Male,NA,Y,,Eddy_DNA/RNA,HW_w136.bam,,*sequenced for genome - no weta
W137,Mature,Male,118,,N,Eddy_DNA/RNA,HW_W137.bam,,
W138_worm1,Mature,Male,120,,Y,Eddy_DNA/RNA,HW_W138_worm1.bam,No,
W138_worm2,Juv,Female,133,,Y,Eddy_DNA/RNA,HW_W138_worm2.bam,No,
14.1,Mature,Male,39.0,,Y,Jeff_emergingwetacass,,,*Does jeff have any info on mature or juvenille?
14.2,Mature,Female,65.0,Y,Y,Jeff_emergingwetacass,HW_14.2.bam,No,
14.3,Mature,Male,56.0,Y,Y,Jeff_emergingwetacass,HW_14.3.bam,No,
14.4,Mature,Male,67.0,Y,Y,Jeff_emergingwetacass,HW_14.4_4.bam,No,
14.5,Mature,Male,118.0,Y,Y,Jeff_emergingwetacass,HW_14.5.bam,No,
14.6,Mature,Female,60.0,,Y,Jeff_emergingwetacass,,,
14.7,Mature,Male,55.0,Y,Y,Jeff_emergingwetacass,HW_14.7_WGA.bam,No,
14.8,Mature,Male,65.0,Y,Y,Jeff_emergingwetacass,HW_14.8_WGA.bam,No,
14.9,Mature,Male,29.0,Y,Y,Jeff_emergingwetacass,HW_14.9_WGA.bam,No,
17.1,Mature,Female,78.0,Y,Y,Jeff_emergingwetacass,HW_17.1.bam,No,
17.2,Mature,Male,76.0,Y,Y,Jeff_emergingwetacass,HW_17.2.bam,No,
18.1,Mature,Male,136.0,Y,N,Jeff_emergingwetacass,HW_18.1.bam,,
19.1,Mature,Male,160.0,Y,N,Jeff_emergingwetacass,HW_19.1.bam,,
24.1,Mature,Female,212.0,Y,Y,Jeff_emergingwetacass,HW_24.1_2.bam,No,
24.2,Mature,Female,162.0,Y,Y,Jeff_emergingwetacass,HW_24.2.bam,No,
29.1,Mature,Male,179.0,Y,Y,Jeff_emergingwetacass,HW_29.1.bam,No,
29.2,Mature,Male,174.0,Y,Y,Jeff_emergingwetacass,HW_29.2.bam,No,
31.1,Mature,Female,232,Y,N,Jeff_emergingwetacass,HW_31.1_WGA.bam,,
34.1,Mature,NA,245.0,,N,Jeff_emergingwetacass,,,
HW_bigmama,Mature,Female,550.0,,,Jeff_eggcollection,HW_Big_Mama.bam,,
dh1,Mature,Male,449,Y,NA,Jeff_freelivingcass,HW_dh1.bam,,*theoretically these really large ones could have come from a tree weta host so I don’t know if we can use the worms caught free living at cass
dh2,Mature,Male,262,,NA,Jeff_freelivingcass,,,
dh3,Mature,Male,171,,NA,Jeff_freelivingcass,HW_HC3.bam,,Code switched but is dh
dh4,Mature,Male,166,,NA,Jeff_freelivingcass,HW_HC4.bam,,Code switched but is dh
dh5,Mature,Male,125,Y,NA,Jeff_freelivingcass,HW_dh5.bam,,
dh6,Mature,Male,186,,NA,Jeff_freelivingcass,,,
dh7,Mature,Male,175,,NA,Jeff_freelivingcass,HW_HC7.bam,,Code switched but is dh
dh8,Mature,Male,212,Y,NA,Jeff_freelivingcass,HW_dh8.bam,,
ch1,Mature,Male,109.0,,NA,Jeff_freelivingcass,,,
ch2,Mature,Male,170.0,,NA,Jeff_freelivingcass,,,
ch3,Mature,Male,291.0,Y,NA,Jeff_freelivingcass,,,
ch4,Mature,Male,124.0,Y,NA,Jeff_freelivingcass,,,
ch5,Mature,Male,315.0,,NA,Jeff_freelivingcass,,,
ch6,Mature,Male,305.0,,NA,Jeff_freelivingcass,,,
ch7,Mature,Female,165.0,Y,NA,Jeff_freelivingcass,,,
ch8,Mature,Male,150.0,,NA,Jeff_freelivingcass,,,
ch9,Mature,Female,109,,NA,Jeff_freelivingcass,,,
ch10,Mature,Female,NA,,NA,Jeff_freelivingcass,HW_ch10.bam,,
ch11.1,Mature,NA,NA,,Y,Jeff_emergingwetacass,,,
ch11.2,Juv,NA,NA,Y,Y,Jeff_emergingwetacass,HW_ch11.2.bam,No,
ch11.3,Juv,NA,NA,Y,Y,Jeff_emergingwetacass,HW_ch11.3.bam,No,
ch11.4,Juv,NA,NA,Y,Y,Jeff_emergingwetacass,HW_ch11.4.bam,No,
H1.11,Mature,Male,220,,NA,Jeff_freelivingcass,HW_H1.11.bam,,
H1.21,Mature,Male,203,,NA,Jeff_freelivingcass,HW_H1.21.bam,,
H1.31,NA,NA,NA,,NA,Jeff_freelivingcass,HW_H1.31.bam,,
H1.32,NA,NA,NA,,NA,Jeff_freelivingcass,HW_H1.32.bam,,
H1.33,NA,NA,NA,,NA,Jeff_freelivingcass,HW_H1.33.bam,,
H2.21,Mature,Male,265,,NA,Jeff_freelivingcass,HW_H2.21.bam,,
H2.22,Mature,Male,NA,,NA,Jeff_freelivingcass,HW_H2.22.bam,,
H3.21,Mature,Male,270,,NA,Jeff_freelivingcass,HW_H3.21.bam,,
