a	b	nSites	R0	R1	KING
0	1	6716	2.699119	0.127951	-0.618042
0	2	6400	2.765090	0.114838	-0.570347
0	3	6706	2.476233	0.149177	-0.634710
0	4	6442	2.683517	0.131118	-0.628968
0	5	6311	2.603593	0.136714	-0.626916
0	6	6566	2.264020	0.150146	-0.551587
0	7	129	129611.803321	0.000004	-1.752715
0	8	177	47450781.633605	0.000000	-1.798003
0	9	6108	2.515006	0.128659	-0.555292
0	10	6202	2.259181	0.155893	-0.571584
0	11	6127	2.968849	0.115105	-0.639691
0	12	5901	2.489546	0.129565	-0.550467
0	13	6174	2.395716	0.147381	-0.593391
0	14	6123	2.286253	0.144201	-0.537340
0	15	3585	1.503266	0.166243	-0.308128
0	16	193	96468.048433	0.000004	-1.441045
0	17	68	3022189976856.594727	0.000000	-0.552903
0	18	6591	2.733920	0.122869	-0.603368
0	19	1728	2.420304	0.114704	-0.462847
0	20	5876	2.174721	0.136998	-0.470121
0	21	76	1609589103.705703	0.000000	-1.305160
0	22	310	12.521113	0.036815	-1.444720
0	23	125	163043.859237	0.000002	-1.229620
0	24	6618	2.627781	0.132730	-0.616185
0	25	295	63739.751935	0.000006	-1.358805
0	26	6370	2.980130	0.111640	-0.621801
0	27	6150	3.006507	0.116356	-0.660668
0	28	306	178847386.314412	0.000000	-1.606016
0	29	6778	2.030831	0.160202	-0.492920
0	30	159	215183.017849	0.000002	-1.308938
0	31	6465	2.931773	0.120941	-0.662906
0	32	176	829484.291141	0.000001	-1.451038
0	33	139	41413.445573	0.000009	-1.161337
0	34	32	7990405451212616170995712.000000	0.000000	-0.666449
0	35	161	1474972.026822	0.000000	-2.355720
0	36	157	118669.558093	0.000004	-2.035100
0	37	357	7.247899	0.057060	-1.099216
0	38	190	15.911343	0.029456	-1.538227
0	39	6238	2.943973	0.119864	-0.660638
0	40	1200	2.519441	0.105503	-0.450819
0	41	6166	2.155323	0.152541	-0.517266
0	42	137	2178983.091328	0.000000	-1.483286
0	43	6204	2.850653	0.119259	-0.623975
0	44	6366	2.550669	0.133829	-0.592545
0	45	6392	2.564463	0.132219	-0.589951
0	46	6946	1.253740	0.173421	-0.231472
0	47	1871	2.047716	0.146078	-0.455347
0	48	6492	3.124773	0.103715	-0.616356
0	49	6312	2.587910	0.134208	-0.608433
0	50	6145	2.734319	0.117483	-0.574556
0	51	6459	2.898512	0.115552	-0.618522
0	52	6296	2.524854	0.133013	-0.579094
0	53	6543	2.118753	0.148272	-0.488634
0	54	7283	0.762918	0.217504	-0.090122
0	55	6055	2.755537	0.127448	-0.636186
1	2	8146	3.185523	0.122034	-0.766320
1	3	9643	3.277085	0.111239	-0.720144
1	4	9184	3.585263	0.100921	-0.741337
1	5	8033	3.772847	0.105881	-0.853225
1	6	8923	2.900535	0.113915	-0.609435
1	7	185	181289.703319	0.000003	-2.856129
1	8	266	5561.389106	0.000110	-3.146047
1	9	7670	3.412248	0.113259	-0.785279
1	10	7417	2.850109	0.128309	-0.676917
1	11	7075	3.597462	0.095189	-0.695439
1	12	6674	3.217272	0.106804	-0.667166
1	13	7729	3.525690	0.113666	-0.832148
1	14	7399	2.950135	0.130540	-0.730256
1	15	4106	2.420550	0.113172	-0.456427
1	16	300	304592.000853	0.000002	-2.165964
1	17	59	108120.687890	0.000006	-4.331654
